                                                                                                         Name                 Type                                                                                                                                                              Input Shapes                                                                                                          Output Shapes  Has Trainable Weights
                                                            Inception/Mixed_5b/Branch_0/Conv2d_0a_1x1/weights           VariableV2                                                                                                                                                                        []                                                                                         [TensorShape([1, 1, 144, 64])]                  False
                                          Inception/Inception/Mixed_5b/Branch_0/Conv2d_0a_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                                     Inception/Mixed_5b/Branch_0/Conv2d_0a_1x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                              Inception/Mixed_5b/Branch_0/Conv2d_0a_1x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                          Inception/Mixed_5b/Branch_0/Conv2d_0a_1x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                                            Inception/Mixed_5b/Branch_1/Conv2d_0a_1x1/weights           VariableV2                                                                                                                                                                        []                                                                                         [TensorShape([1, 1, 144, 48])]                  False
                                          Inception/Inception/Mixed_5b/Branch_1/Conv2d_0a_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([48])]                  False
                                                     Inception/Mixed_5b/Branch_1/Conv2d_0a_1x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([48])]                  False
                                              Inception/Mixed_5b/Branch_1/Conv2d_0a_1x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([48])]                  False
                                          Inception/Mixed_5b/Branch_1/Conv2d_0a_1x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([48])]                  False
                                                            Inception/Mixed_5b/Branch_1/Conv2d_0b_5x5/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([5, 5, 48, 64])]                  False
                                          Inception/Inception/Mixed_5b/Branch_1/Conv2d_0b_5x5/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                                     Inception/Mixed_5b/Branch_1/Conv2d_0b_5x5/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                              Inception/Mixed_5b/Branch_1/Conv2d_0b_5x5/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                          Inception/Mixed_5b/Branch_1/Conv2d_0b_5x5/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                                            Inception/Mixed_5b/Branch_2/Conv2d_0a_1x1/weights           VariableV2                                                                                                                                                                        []                                                                                         [TensorShape([1, 1, 144, 64])]                  False
                                          Inception/Inception/Mixed_5b/Branch_2/Conv2d_0a_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                                     Inception/Mixed_5b/Branch_2/Conv2d_0a_1x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                              Inception/Mixed_5b/Branch_2/Conv2d_0a_1x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                          Inception/Mixed_5b/Branch_2/Conv2d_0a_1x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([64])]                  False
                                                            Inception/Mixed_5b/Branch_2/Conv2d_0b_3x3/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([3, 3, 64, 96])]                  False
                                          Inception/Inception/Mixed_5b/Branch_2/Conv2d_0b_3x3/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_5b/Branch_2/Conv2d_0b_3x3/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_5b/Branch_2/Conv2d_0b_3x3/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_5b/Branch_2/Conv2d_0b_3x3/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_5b/Branch_2/Conv2d_0c_3x3/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([3, 3, 96, 96])]                  False
                                          Inception/Inception/Mixed_5b/Branch_2/Conv2d_0c_3x3/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_5b/Branch_2/Conv2d_0c_3x3/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_5b/Branch_2/Conv2d_0c_3x3/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_5b/Branch_2/Conv2d_0c_3x3/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_5b/Branch_3/Conv2d_0b_1x1/weights           VariableV2                                                                                                                                                                        []                                                                                         [TensorShape([1, 1, 144, 32])]                  False
                                          Inception/Inception/Mixed_5b/Branch_3/Conv2d_0b_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([32])]                  False
                                                     Inception/Mixed_5b/Branch_3/Conv2d_0b_1x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([32])]                  False
