                                                                                                         Name                 Type                                                                                                                                                              Input Shapes                                                                                                          Output Shapes  Has Trainable Weights
                                          Inception/Inception/Mixed_6e/Branch_0/Conv2d_0a_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_6e/Branch_0/Conv2d_0a_1x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_6e/Branch_0/Conv2d_0a_1x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_6e/Branch_0/Conv2d_0a_1x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_6e/Branch_1/Conv2d_0a_1x1/weights           VariableV2                                                                                                                                                                        []                                                                                         [TensorShape([1, 1, 576, 96])]                  False
                                          Inception/Inception/Mixed_6e/Branch_1/Conv2d_0a_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_6e/Branch_1/Conv2d_0a_1x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_6e/Branch_1/Conv2d_0a_1x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_6e/Branch_1/Conv2d_0a_1x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_6e/Branch_1/Conv2d_0b_1x7/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([1, 7, 96, 96])]                  False
                                          Inception/Inception/Mixed_6e/Branch_1/Conv2d_0b_1x7/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_6e/Branch_1/Conv2d_0b_1x7/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_6e/Branch_1/Conv2d_0b_1x7/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_6e/Branch_1/Conv2d_0b_1x7/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_6e/Branch_1/Conv2d_0c_7x1/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([7, 1, 96, 96])]                  False
                                          Inception/Inception/Mixed_6e/Branch_1/Conv2d_0c_7x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_6e/Branch_1/Conv2d_0c_7x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_6e/Branch_1/Conv2d_0c_7x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_6e/Branch_1/Conv2d_0c_7x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_6e/Branch_2/Conv2d_0a_1x1/weights           VariableV2                                                                                                                                                                        []                                                                                        [TensorShape([1, 1, 576, 192])]                  False
                                          Inception/Inception/Mixed_6e/Branch_2/Conv2d_0a_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                                     Inception/Mixed_6e/Branch_2/Conv2d_0a_1x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                              Inception/Mixed_6e/Branch_2/Conv2d_0a_1x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                          Inception/Mixed_6e/Branch_2/Conv2d_0a_1x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                                            Inception/Mixed_6e/Branch_2/Conv2d_0b_7x1/weights           VariableV2                                                                                                                                                                        []                                                                                         [TensorShape([7, 1, 192, 96])]                  False
                                          Inception/Inception/Mixed_6e/Branch_2/Conv2d_0b_7x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_6e/Branch_2/Conv2d_0b_7x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_6e/Branch_2/Conv2d_0b_7x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_6e/Branch_2/Conv2d_0b_7x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_6e/Branch_2/Conv2d_0c_1x7/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([1, 7, 96, 96])]                  False
                                          Inception/Inception/Mixed_6e/Branch_2/Conv2d_0c_1x7/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_6e/Branch_2/Conv2d_0c_1x7/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_6e/Branch_2/Conv2d_0c_1x7/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_6e/Branch_2/Conv2d_0c_1x7/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_6e/Branch_2/Conv2d_0d_7x1/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([7, 1, 96, 96])]                  False
                                          Inception/Inception/Mixed_6e/Branch_2/Conv2d_0d_7x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_6e/Branch_2/Conv2d_0d_7x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_6e/Branch_2/Conv2d_0d_7x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_6e/Branch_2/Conv2d_0d_7x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_6e/Branch_2/Conv2d_0e_1x7/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([1, 7, 96, 96])]                  False
                                          Inception/Inception/Mixed_6e/Branch_2/Conv2d_0e_1x7/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_6e/Branch_2/Conv2d_0e_1x7/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_6e/Branch_2/Conv2d_0e_1x7/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_6e/Branch_2/Conv2d_0e_1x7/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_6e/Branch_3/Conv2d_0b_1x1/weights           VariableV2                                                                                                                                                                        []                                                                                         [TensorShape([1, 1, 576, 96])]                  False
                                          Inception/Inception/Mixed_6e/Branch_3/Conv2d_0b_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_6e/Branch_3/Conv2d_0b_1x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_6e/Branch_3/Conv2d_0b_1x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_6e/Branch_3/Conv2d_0b_1x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                                     Inception/Inception/Mixed_6e/concat/axis                Const                                                                                                                                                                        []                                                                                                      [TensorShape([])]                  False
                                                            Inception/Mixed_7a/Branch_0/Conv2d_0a_1x1/weights           VariableV2                                                                                                                                                                        []                                                                                         [TensorShape([1, 1, 384, 96])]                  False
                                          Inception/Inception/Mixed_7a/Branch_0/Conv2d_0a_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_7a/Branch_0/Conv2d_0a_1x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_7a/Branch_0/Conv2d_0a_1x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_7a/Branch_0/Conv2d_0a_1x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_7a/Branch_0/Conv2d_1a_3x3/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([3, 3, 96, 96])]                  False
                                          Inception/Inception/Mixed_7a/Branch_0/Conv2d_1a_3x3/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_7a/Branch_0/Conv2d_1a_3x3/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_7a/Branch_0/Conv2d_1a_3x3/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_7a/Branch_0/Conv2d_1a_3x3/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_7a/Branch_1/Conv2d_0a_1x1/weights           VariableV2                                                                                                                                                                        []                                                                                         [TensorShape([1, 1, 384, 96])]                  False
                                          Inception/Inception/Mixed_7a/Branch_1/Conv2d_0a_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_7a/Branch_1/Conv2d_0a_1x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_7a/Branch_1/Conv2d_0a_1x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_7a/Branch_1/Conv2d_0a_1x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_7a/Branch_1/Conv2d_0b_1x7/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([1, 7, 96, 96])]                  False
                                          Inception/Inception/Mixed_7a/Branch_1/Conv2d_0b_1x7/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_7a/Branch_1/Conv2d_0b_1x7/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_7a/Branch_1/Conv2d_0b_1x7/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_7a/Branch_1/Conv2d_0b_1x7/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_7a/Branch_1/Conv2d_0c_7x1/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([7, 1, 96, 96])]                  False
                                          Inception/Inception/Mixed_7a/Branch_1/Conv2d_0c_7x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_7a/Branch_1/Conv2d_0c_7x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_7a/Branch_1/Conv2d_0c_7x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_7a/Branch_1/Conv2d_0c_7x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                            Inception/Mixed_7a/Branch_1/Conv2d_1a_3x3/weights           VariableV2                                                                                                                                                                        []                                                                                          [TensorShape([3, 3, 96, 96])]                  False
                                          Inception/Inception/Mixed_7a/Branch_1/Conv2d_1a_3x3/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                     Inception/Mixed_7a/Branch_1/Conv2d_1a_3x3/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                              Inception/Mixed_7a/Branch_1/Conv2d_1a_3x3/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                          Inception/Mixed_7a/Branch_1/Conv2d_1a_3x3/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                    [TensorShape([96])]                  False
                                                                     Inception/Inception/Mixed_7a/concat/axis                Const                                                                                                                                                                        []                                                                                                      [TensorShape([])]                  False
                                                            Inception/Mixed_7b/Branch_0/Conv2d_0a_1x1/weights           VariableV2                                                                                                                                                                        []                                                                                        [TensorShape([1, 1, 576, 192])]                  False
                                          Inception/Inception/Mixed_7b/Branch_0/Conv2d_0a_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                                     Inception/Mixed_7b/Branch_0/Conv2d_0a_1x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                              Inception/Mixed_7b/Branch_0/Conv2d_0a_1x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                          Inception/Mixed_7b/Branch_0/Conv2d_0a_1x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                                            Inception/Mixed_7b/Branch_1/Conv2d_0a_1x1/weights           VariableV2                                                                                                                                                                        []                                                                                        [TensorShape([1, 1, 576, 192])]                  False
                                          Inception/Inception/Mixed_7b/Branch_1/Conv2d_0a_1x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                                     Inception/Mixed_7b/Branch_1/Conv2d_0a_1x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                              Inception/Mixed_7b/Branch_1/Conv2d_0a_1x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                          Inception/Mixed_7b/Branch_1/Conv2d_0a_1x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                                            Inception/Mixed_7b/Branch_1/Conv2d_0b_1x3/weights           VariableV2                                                                                                                                                                        []                                                                                        [TensorShape([1, 3, 192, 192])]                  False
                                          Inception/Inception/Mixed_7b/Branch_1/Conv2d_0b_1x3/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                                     Inception/Mixed_7b/Branch_1/Conv2d_0b_1x3/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                              Inception/Mixed_7b/Branch_1/Conv2d_0b_1x3/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                          Inception/Mixed_7b/Branch_1/Conv2d_0b_1x3/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                                            Inception/Mixed_7b/Branch_1/Conv2d_0b_3x1/weights           VariableV2                                                                                                                                                                        []                                                                                        [TensorShape([3, 1, 192, 192])]                  False
                                          Inception/Inception/Mixed_7b/Branch_1/Conv2d_0b_3x1/BatchNorm/Const                Const                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                                     Inception/Mixed_7b/Branch_1/Conv2d_0b_3x1/BatchNorm/beta           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                              Inception/Mixed_7b/Branch_1/Conv2d_0b_3x1/BatchNorm/moving_mean           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                          Inception/Mixed_7b/Branch_1/Conv2d_0b_3x1/BatchNorm/moving_variance           VariableV2                                                                                                                                                                        []                                                                                                   [TensorShape([192])]                  False
                                                            Inception/Inception/Mixed_7b/Branch_1/concat/axis                Const                                                                                                                                                                        []                                                                                                      [TensorShape([])]                  False
